DateTime,W10000,W1001E,W1001C,W10026,W1002E,W10054,W10056,W10058,W10052
2024/06/27 13:03:00,"HTHLI5H03535PA84-00176J",19,"OK","OK","",0.00000e+00,0.00000e+00,0.00000e+00,"OK"
2024/06/27 13:03:51,"HTHLI5M01245PA84-00176J",19,"OK","OK","",0.00000e+00,0.00000e+00,0.00000e+00,"OK"
